kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
던지다,cast,그물을 던졌어요.,I cast the net.,배역을 맡았어요.,I cast a role.,그녀는 영화에서 중요한 역할을 맡았습니다.,She was cast in a significant role in the movie.
싫어하다,dislike,그는 저를 싫어해요.,He dislikes me.,혐오감을 느꼈어요.,I felt dislike.,나는 거짓말하는 사람들을 싫어합니다.,I dislike people who lie.
적용하다,adjust,환경에 적응했어요.,I adjusted to the environment.,온도를 조정했어요.,I adjusted the temperature.,그녀는 새로운 직장에 빠르게 적응했습니다.,She quickly adjusted to her new workplace.
연합,union,노동조합에 가입했어요.,I joined a union.,연합군이 승리했어요.,The union army won.,그들은 노동자들의 권리를 보호하기 위한 노동조합을 결성했습니다.,They formed a union to protect workers' rights.
도기,pottery,도자기를 만들었어요.,I made pottery.,고대 도기가 전시되어 있어요.,Ancient pottery is on display.,그녀는 점토로 아름다운 도자기를 만드는 것을 좋아합니다.,She enjoys making beautiful pottery from clay.
유적,remains,고대 유적을 발견했어요.,I discovered ancient remains.,그의 유해가 발견되었어요.,His remains were found.,고고학자들은 고대 도시의 유적을 발굴했습니다.,Archaeologists excavated the remains of an ancient city.
외과의사,surgery,수술을 받았어요.,I had surgery.,외과의사가 수술했어요.,The surgeon performed surgery.,그녀는 복잡한 심장 수술을 성공적으로 마쳤습니다.,She successfully underwent complex heart surgery.
철학,philosophy,철학을 공부해요.,I study philosophy.,그의 삶의 철학은 단순해요.,His philosophy of life is simple.,고대 그리스 철학은 서양 사상에 큰 영향을 미쳤습니다.,Ancient Greek philosophy greatly influenced Western thought.
신화,myth,그것은 신화예요.,It's a myth.,그리스 신화를 읽었어요.,I read Greek myths.,많은 문화권에는 세상의 기원에 대한 고유한 신화가 있습니다.,Many cultures have their own myths about the origin of the world.
주식,stock,주식을 샀어요.,I bought stocks.,재고가 많아요.,There is a lot of stock.,그 회사의 주가는 지난주에 급등했습니다.,The company's stock price surged last week.
더미,pile,책 더미가 있어요.,There is a pile of books.,옷을 쌓았어요.,I piled up clothes.,그는 책상 위에 서류 더미를 쌓아두었습니다.,He had a pile of papers stacked on his desk.
덫,trap,덫에 걸렸어요.,I fell into a trap.,동물을 가두었어요.,I trapped the animal.,그들은 숲에서 덫을 놓아 야생 동물을 잡았습니다.,They set a trap in the forest to catch wild animals.
그늘,shade,나무 그늘에 앉았어요.,I sat in the shade of a tree.,색조가 달라요.,The shade is different.,그녀는 뜨거운 태양을 피해 그늘을 찾았습니다.,She sought shade to escape the hot sun.
곡조,turn,아름다운 곡조예요.,It's a beautiful turn.,음조가 높아요.,The tone is high.,그녀는 노래의 멜로디를 완벽하게 연주했습니다.,She played the turn of the song perfectly.
휴양지,resort,휴양지에 갔어요.,I went to a resort.,마지막 수단으로 사용했어요.,I resorted to it as a last resort.,그들은 여름 휴가를 위해 해변 휴양지를 선택했습니다.,They chose a beach resort for their summer vacation.
진공청소기,vacuum,진공청소기로 청소했어요.,I vacuumed with a vacuum cleaner.,진공 상태예요.,It's a vacuum.,그녀는 거실을 진공청소기로 청소했습니다.,She vacuumed the living room.
물들이다,dye,머리를 물들였어요.,I dyed my hair.,천을 물들였어요.,I dyed the fabric.,그녀는 옷을 파란색으로 염색했습니다.,She dyed her dress blue.
끌다,drag,의자를 끌었어요.,I dragged the chair.,시간이 질질 끌렸어요.,Time dragged on.,그들은 무거운 상자를 방 반대편으로 끌었습니다.,They dragged the heavy box across the room.
최고의,supreme,최고의 결정이었어요.,It was the supreme decision.,최고의 권위예요.,He has supreme authority.,대법원은 국가의 최고 법원입니다.,The Supreme Court is the supreme court of the nation.
기계의,mechanical,기계적인 움직임이에요.,It's a mechanical movement.,기계적인 문제였어요.,It was a mechanical problem.,그는 기계적인 문제 해결에 능숙합니다.,He is skilled at solving mechanical problems.
비참한,miserable,비참한 기분이었어요.,I felt miserable.,비참한 삶이었어요.,It was a miserable life.,그녀는 시험에 실패한 후 비참함을 느꼈습니다.,She felt miserable after failing the exam.
쓴,bitter,맛이 썼어요.,It tasted bitter.,지독한 추위였어요.,It was a bitter cold.,그는 실패 후 쓰라린 경험을 했습니다.,He had a bitter experience after the failure.
유망한,promising,유망한 학생이에요.,He is a promising student.,유망한 미래를 가지고 있어요.,She has a promising future.,그 젊은 과학자는 이 분야에서 매우 유망한 연구를 수행하고 있습니다.,The young scientist is conducting very promising research in this field.
분별력있는,sensible,분별력 있는 사람이에요.,He is a sensible person.,합리적인 조언을 해줬어요.,She gave sensible advice.,그녀는 항상 상황에 대해 분별력 있는 접근 방식을 취합니다.,She always takes a sensible approach to situations.
활기찬,lively,활기찬 분위기예요.,It's a lively atmosphere.,활기찬 아이예요.,He is a lively child.,그녀는 파티에서 가장 활기찬 사람이었습니다.,She was the most lively person at the party.
액체,liquid,액체 상태예요.,It's in a liquid state.,액체를 마셨어요.,I drank the liquid.,물은 상온에서 액체 상태입니다.,Water is in a liquid state at room temperature.
감염시키다,infect,바이러스가 감염시켰어요.,The virus infected.,병이 감염되었어요.,The disease infected.,그녀는 감염된 상처를 치료하기 위해 약을 복용했습니다.,She took medication to treat the infected wound.
겁나게하다,terrify,그 이야기는 저를 겁나게 했어요.,The story terrified me.,무서운 꿈이었어요.,It was a terrifying dream.,그는 어둠 속에서 들려오는 소리에 겁을 먹었습니다.,He was terrified by the sounds coming from the dark.
비난하다,scold,그는 저를 비난했어요.,He scolded me.,아이를 꾸짖었어요.,I scolded the child.,부모님은 그의 무례한 행동에 대해 그를 꾸짖었습니다.,His parents scolded him for his rude behavior.
강화하다,strengthen,근육을 강화했어요.,I strengthened my muscles.,관계를 강화했어요.,I strengthened the relationship.,정부는 경제를 강화하기 위한 새로운 정책을 발표했습니다.,The government announced new policies to strengthen the economy.
건너뛰다,skip,줄넘기를 건너뛰었어요.,I skipped rope.,페이지를 건너뛰었어요.,I skipped a page.,그녀는 아침 식사를 건너뛰고 바로 출근했습니다.,She skipped breakfast and went straight to work.
빨리끌어당기다,tug,밧줄을 잡아당겼어요.,I tugged the rope.,빨리 끌어당겼어요.,I tugged quickly.,아이는 엄마의 옷을 잡아당겨 주의를 끌었습니다.,The child tugged at his mother's clothes to get her attention.
손뼉을치다,clap,손뼉을 쳤어요.,I clapped my hands.,박수를 보냈어요.,I clapped.,청중은 연주가 끝난 후 열렬히 박수를 쳤습니다.,The audience clapped enthusiastically after the performance.
자손,descendent,그는 왕의 자손이에요.,He is a descendent of the king.,우리는 조상의 자손이에요.,We are descendants of our ancestors.,그들은 고대 부족의 직계 후손입니다.,They are direct descendants of an ancient tribe.
학생,pupil,저는 학생이에요.,I am a pupil.,초등학생이에요.,I am a primary school pupil.,그녀는 학교에서 가장 똑똑한 학생 중 한 명입니다.,She is one of the brightest pupils in the school.
수염,beard,수염이 길어요.,He has a long beard.,수염을 길렀어요.,He grew a beard.,산타클로스는 길고 흰 수염을 가지고 있습니다.,Santa Claus has a long white beard.
위원회,committee,위원회에 참석했어요.,I attended a committee meeting.,새로운 위원회를 만들었어요.,We formed a new committee.,그 위원회는 새로운 법안을 검토할 책임이 있습니다.,The committee is responsible for reviewing new legislation.
탄수화물,carbohydrate,탄수화물을 섭취했어요.,I consumed carbohydrates.,탄수화물은 에너지원이에요.,Carbohydrates are a source of energy.,밥과 빵은 주요 탄수화물 공급원입니다.,Rice and bread are major sources of carbohydrates.
돈,fortune,돈을 많이 벌었어요.,I made a fortune.,행운이 따랐어요.,Fortune favored me.,그는 주식 시장에서 큰돈을 벌었습니다.,He made a fortune in the stock market.
출입구,entrance,출입구가 어디인가요?,Where is the entrance?,건물 입구에 서 있었어요.,I stood at the building entrance.,박물관 입구는 방문객들로 붐볐습니다.,The museum entrance was crowded with visitors.
골목길,alley,골목길을 걸었어요.,I walked down the alley.,좁은 골목길이었어요.,It was a narrow alley.,그녀는 어두운 골목길을 지나 집으로 향했습니다.,She walked down the dark alley towards her home.
식민지,colony,식민지를 건설했어요.,They established a colony.,새로운 식민지가 생겼어요.,A new colony was formed.,영국은 한때 세계 여러 지역에 식민지를 가지고 있었습니다.,Britain once had colonies in many parts of the world.
경계,boundary,경계를 넘었어요.,I crossed the boundary.,국경선이 명확해요.,The boundary line is clear.,그들은 두 나라 사이의 경계를 표시했습니다.,They marked the boundary between the two countries.
도착,arrival,도착했어요.,I arrived.,도착 시간이 늦었어요.,The arrival time was late.,그녀의 갑작스러운 도착은 모두를 놀라게 했습니다.,Her sudden arrival surprised everyone.
결과,consequence,결과를 책임져야 해요.,You must take responsibility for the consequences.,심각한 결과였어요.,It was a serious consequence.,그녀의 무모한 결정은 예상치 못한 결과를 초래했습니다.,Her reckless decision led to unforeseen consequences.
싼물건,bargain,싼 물건을 샀어요.,I bought a bargain.,흥정했어요.,I bargained.,그녀는 세일 기간 동안 좋은 물건을 발견했습니다.,She found a good bargain during the sale.
남용,abuse,권력을 남용했어요.,He abused his power.,아동 학대가 심각해요.,Child abuse is serious.,그는 자신의 지위를 남용하여 개인적인 이득을 취했습니다.,He abused his position to gain personal advantage.
으르렁거리다,roar,사자가 으르렁거렸어요.,The lion roared.,큰 소리였어요.,It was a loud roar.,군중의 환호성이 경기장을 가득 채웠습니다.,The roar of the crowd filled the stadium.
혹독한,harsh,혹독한 날씨였어요.,It was harsh weather.,혹독한 비판을 받았어요.,He received harsh criticism.,그들은 사막의 혹독한 환경에서 살아남았습니다.,They survived in the harsh environment of the desert.
실제의,actual,실제 상황이었어요.,It was an actual situation.,실제로는 달랐어요.,It was different in actual fact.,그녀는 실제 경험을 바탕으로 이야기를 썼습니다.,She wrote the story based on actual experiences.
금지하다,ban,흡연을 금지했어요.,They banned smoking.,금지된 구역이었어요.,It was a banned area.,정부는 공공장소에서의 흡연을 금지했습니다.,The government banned smoking in public places.
열망하는,eager,열망하는 눈빛이었어요.,He had eager eyes.,배우기를 열망해요.,I am eager to learn.,그녀는 새로운 도전을 시작하기를 열망했습니다.,She was eager to embark on a new challenge.
예보하다,forecast,날씨를 예보했어요.,They forecast the weather.,일기 예보가 맞았어요.,The weather forecast was correct.,경제학자들은 내년에 경제 성장을 예보했습니다.,Economists forecast economic growth for next year.
근면한,diligent,근면한 학생이에요.,He is a diligent student.,그는 근면하게 일해요.,He works diligently.,그녀는 학업에 매우 근면하여 항상 좋은 성적을 받습니다.,She is very diligent in her studies and always gets good grades.
심리학,psychology,심리학을 공부해요.,I study psychology.,심리학은 흥미로워요.,Psychology is interesting.,그녀는 인간 행동의 심리학에 매료되었습니다.,She was fascinated by the psychology of human behavior.
할수있는,capable,그는 할 수 있어요.,He is capable.,능력 있는 사람이에요.,He is a capable person.,그녀는 어떤 어려운 문제도 해결할 수 있는 능력이 있습니다.,She is capable of solving any difficult problem.
정치학,politics,정치학을 공부해요.,I study politics.,정치는 복잡해요.,Politics is complicated.,그는 정치에 대한 깊은 이해를 가지고 있습니다.,He has a deep understanding of politics.
창백한,pale,얼굴이 창백했어요.,His face was pale.,색깔이 창백해요.,The color is pale.,그녀는 충격으로 인해 얼굴이 창백해졌습니다.,Her face turned pale from shock.
전망,prospect,전망이 밝아요.,The prospect is bright.,좋은 전망을 가지고 있어요.,He has a good prospect.,그 회사는 미래에 대한 좋은 전망을 가지고 있습니다.,The company has good prospects for the future.
추상적인,abstract,추상적인 그림이에요.,It's an abstract painting.,추상적인 개념이에요.,It's an abstract concept.,그녀는 자신의 감정을 추상적인 형태로 표현하는 것을 좋아합니다.,She likes to express her emotions in an abstract form.
긴장,strain,긴장감이 높아요.,The strain is high.,눈에 무리가 갔어요.,I strained my eyes.,그 프로젝트는 팀에 상당한 부담을 주었습니다.,The project put a considerable strain on the team.
거주자,resident,이 아파트의 거주자예요.,I am a resident of this apartment.,그는 영주권자예요.,He is a permanent resident.,그 마을의 모든 거주자들은 새로운 계획에 대해 투표했습니다.,All residents of the village voted on the new plan.
장관,minister,외교부 장관이에요.,He is the Minister of Foreign Affairs.,교회 목사님이에요.,He is a church minister.,그 장관은 국가의 새로운 경제 정책을 발표했습니다.,The minister announced the nation's new economic policy.
백만장자,millionaire,그는 백만장자예요.,He is a millionaire.,백만장자가 되고 싶어요.,I want to be a millionaire.,그는 젊은 나이에 자수성가한 백만장자가 되었습니다.,He became a self-made millionaire at a young age.
의회,assembly,의회에 참석했어요.,I attended the assembly.,자동차 조립을 했어요.,I assembled the car.,학생회는 새로운 규칙에 대해 논의하기 위해 모였습니다.,The student assembly met to discuss the new rules.
세균,germ,세균이 많아요.,There are many germs.,세균을 죽였어요.,I killed the germs.,손을 자주 씻는 것은 세균의 확산을 막는 데 도움이 됩니다.,Washing hands frequently helps prevent the spread of germs.
입자,particle,작은 입자를 봤어요.,I saw a small particle.,먼지 입자가 날렸어요.,Dust particles flew.,과학자들은 아원자 입자의 행동을 연구합니다.,Scientists study the behavior of subatomic particles.
조류,tide,썰물과 밀물이 있어요.,There are ebb and flow tides.,조류가 강해요.,The tide is strong.,밀물은 해안으로 바닷물을 밀어 올립니다.,The tide pushes the seawater towards the coast.
전설,legend,전설적인 인물이에요.,He is a legendary figure.,전설적인 이야기를 들었어요.,I heard a legendary story.,그 마을은 고대 전설로 유명합니다.,The village is famous for its ancient legends.
걸작,masterpiece,이것은 걸작이에요.,This is a masterpiece.,예술 작품이에요.,It's a work of art.,그 화가의 마지막 작품은 그의 걸작으로 여겨집니다.,The artist's last work is considered his masterpiece.
의견,opinion,의견을 말했어요.,I expressed my opinion.,다른 의견이 있어요.,I have a different opinion.,그녀는 자신의 의견을 자유롭게 표현하는 것을 두려워하지 않았습니다.,She was not afraid to express her opinion freely.
장애물,obstacle,장애물을 넘었어요.,I overcame an obstacle.,어려운 장애물이었어요.,It was a difficult obstacle.,그들은 목표 달성에 많은 장애물에 직면했습니다.,They faced many obstacles in achieving their goals.
곤란,hardship,곤란을 겪었어요.,I experienced hardship.,어려운 시기였어요.,It was a time of hardship.,그녀는 가난과 역경 속에서 많은 어려움을 겪었습니다.,She endured many hardships in poverty and adversity.
작별,farewell,작별 인사를 했어요.,I said farewell.,작별 파티를 했어요.,We had a farewell party.,그녀는 친구들에게 작별 인사를 하고 새로운 여정을 시작했습니다.,She bid farewell to her friends and embarked on a new journey.
장례식,funeral,장례식에 참석했어요.,I attended a funeral.,슬픈 장례식이었어요.,It was a sad funeral.,그녀는 돌아가신 할머니의 장례식에 참석했습니다.,She attended her deceased grandmother's funeral.
살인,murder,살인을 저질렀어요.,He committed murder.,살인 사건이 발생했어요.,A murder occurred.,경찰은 잔인한 살인 사건을 조사하고 있습니다.,The police are investigating a brutal murder.
터지다,burst,풍선이 터졌어요.,The balloon burst.,웃음이 터져 나왔어요.,Laughter burst out.,그녀는 기쁨에 겨워 눈물을 터뜨렸습니다.,She burst into tears of joy.
생태계,ecosystem,생태계를 보호해야 해요.,We should protect the ecosystem.,숲은 복잡한 생태계예요.,The forest is a complex ecosystem.,열대우림은 지구상에서 가장 풍부한 생태계 중 하나입니다.,Rainforests are one of the richest ecosystems on Earth.
우주선,spacecraft,우주선을 발사했어요.,They launched a spacecraft.,새로운 우주선이에요.,It's a new spacecraft.,그 우주선은 화성 탐사를 위해 발사되었습니다.,The spacecraft was launched to explore Mars.
혜성,comet,혜성을 봤어요.,I saw a comet.,혜성은 아름다워요.,Comets are beautiful.,그 혜성은 수십 년 만에 처음으로 지구에 접근했습니다.,The comet approached Earth for the first time in decades.
화학,chemistry,화학을 공부해요.,I study chemistry.,화학 실험을 했어요.,I did a chemistry experiment.,그녀는 유기 화학 분야의 전문가입니다.,She is an expert in organic chemistry.
구리,cooper,구리로 만들었어요.,It's made of copper.,구리는 전기가 잘 통해요.,Copper conducts electricity well.,구리는 전선과 배관에 널리 사용됩니다.,Copper is widely used in electrical wiring and plumbing.
서랍,drawer,서랍을 열었어요.,I opened the drawer.,서랍에 물건을 넣었어요.,I put things in the drawer.,그녀는 서랍에서 양말 한 켤레를 꺼냈습니다.,She pulled a pair of socks from the drawer.
위원회,council,시의회에 참석했어요.,I attended the city council.,학생회가 있어요.,There is a student council.,시의회는 새로운 도시 개발 계획을 승인했습니다.,The city council approved the new urban development plan.
지역,district,이 지역은 조용해요.,This district is quiet.,학교 구역이 넓어요.,The school district is large.,그들은 새로운 상업 지구에 투자하기로 결정했습니다.,They decided to invest in the new commercial district.
행위,deed,좋은 행위를 했어요.,I did a good deed.,그의 행위는 칭찬받을 만해요.,His deed is commendable.,그녀의 친절한 행위는 많은 사람들에게 영감을 주었습니다.,Her kind deed inspired many people.
명성,fame,그는 명성이 높아요.,He has great fame.,명성을 얻고 싶어요.,I want to gain fame.,그녀는 자신의 예술적 재능으로 국제적인 명성을 얻었습니다.,She gained international fame for her artistic talent.
붕괴,breakdown,시스템이 붕괴되었어요.,The system had a breakdown.,신경 쇠약이 왔어요.,He had a nervous breakdown.,협상은 합의에 이르지 못하고 결국 결렬되었습니다.,The negotiations broke down and ultimately collapsed.
공간,dimension,다른 공간에 있어요.,It's in a different dimension.,3차원 공간이에요.,It's a three-dimensional space.,그녀는 예술 작품에 깊이와 차원을 더했습니다.,She added depth and dimension to her artwork.
불꽃,flame,불꽃이 타올랐어요.,The flame burned brightly.,촛불이 흔들렸어요.,The candle flame flickered.,캠프파이어의 불꽃은 밤하늘을 밝게 비추었습니다.,The flames of the campfire brightly illuminated the night sky.
조언,counsel,조언을 구했어요.,I sought counsel.,그는 저에게 조언했어요.,He counseled me.,그녀는 어려운 결정에 대해 변호사에게 조언을 구했습니다.,She sought counsel from her lawyer regarding a difficult decision.
주장하다,urge,그는 저에게 가라고 주장했어요.,He urged me to go.,강한 충동을 느꼈어요.,I felt a strong urge.,그녀는 모든 시민들에게 투표에 참여할 것을 촉구했습니다.,She urged all citizens to participate in the election.
노동력,workforce,노동력이 부족해요.,There is a shortage of workforce.,숙련된 노동력이 필요해요.,We need a skilled workforce.,그 회사는 생산성을 높이기 위해 노동력을 확장했습니다.,The company expanded its workforce to increase productivity.
왕조,dynasty,고대 왕조를 연구했어요.,I studied an ancient dynasty.,왕조가 무너졌어요.,The dynasty fell.,그 왕조는 수세기 동안 이 나라를 통치했습니다.,The dynasty ruled the country for centuries.
괴물,monster,괴물을 봤어요.,I saw a monster.,무서운 괴물이었어요.,It was a scary monster.,그 영화는 바다 깊은 곳에 사는 거대한 괴물에 대한 이야기입니다.,The movie is about a giant monster living in the deep sea.
체육관,gym,체육관에서 운동했어요.,I exercised at the gym.,헬스장에 갔어요.,I went to the gym.,그녀는 매일 아침 체육관에서 운동합니다.,She works out at the gym every morning.
창고,warehouse,창고에 물건을 보관했어요.,I stored items in the warehouse.,큰 창고였어요.,It was a big warehouse.,그 회사는 제품을 보관하기 위해 대형 창고를 임대했습니다.,The company leased a large warehouse to store its products.
거리,avenue,넓은 거리를 걸었어요.,I walked down a wide avenue.,새로운 거리가 생겼어요.,A new avenue was built.,그들은 나무가 늘어선 아름다운 거리를 따라 걸었습니다.,They walked along a beautiful tree-lined avenue.
화산,volcano,화산이 폭발했어요.,The volcano erupted.,활화산이에요.,It's an active volcano.,화산 폭발은 주변 지역에 엄청난 피해를 입혔습니다.,The volcanic eruption caused immense damage to the surrounding areas.
대야,basin,대야에 물을 받았어요.,I filled the basin with water.,세면대가 있어요.,There is a wash basin.,그 산맥은 넓은 강 유역을 둘러싸고 있습니다.,The mountain range surrounds a large river basin.
장벽,barrier,장벽을 넘었어요.,I overcame a barrier.,언어 장벽이 있었어요.,There was a language barrier.,그들은 성공을 가로막는 장벽을 허물기 위해 노력했습니다.,They worked to break down barriers to success.
요금,fee,입장료를 냈어요.,I paid the entrance fee.,수수료가 비싸요.,The fee is high.,그녀는 변호사에게 법률 자문에 대한 수수료를 지불했습니다.,She paid a fee to the lawyer for legal consultation.
삼각형,triangle,삼각형을 그렸어요.,I drew a triangle.,삼각형 모양이에요.,It's a triangle shape.,그들은 삼각형 모양의 땅을 발견했습니다.,They discovered a triangle-shaped piece of land.
결합,fusion,두 가지를 결합했어요.,I fused two things.,핵융합 에너지를 연구해요.,I study nuclear fusion energy.,그들의 음악은 전통과 현대 스타일의 독특한 융합입니다.,Their music is a unique fusion of traditional and modern styles.
방아쇠,trigger,방아쇠를 당겼어요.,I pulled the trigger.,사건을 유발했어요.,It triggered the incident.,그녀의 말은 그의 분노를 촉발시켰습니다.,Her words triggered his anger.
맹세,vow,맹세했어요.,I made a vow.,결혼 맹세를 했어요.,I made wedding vows.,그들은 서로에게 영원한 사랑을 맹세했습니다.,They made a vow of eternal love to each other.
껍질을벗기다,peel,사과 껍질을 벗겼어요.,I peeled an apple.,껍질이 벗겨졌어요.,The peel came off.,그녀는 오렌지 껍질을 벗겨 과육을 먹었습니다.,She peeled the orange and ate the fruit.
외과의사,surgeon,외과의사가 수술했어요.,The surgeon performed surgery.,유명한 외과의사예요.,He is a famous surgeon.,그 외과의사는 복잡한 수술을 성공적으로 마쳤습니다.,The surgeon successfully completed a complex operation.
동정,sympathy,동정을 느꼈어요.,I felt sympathy.,그녀에게 동정심을 보냈어요.,I showed sympathy for her.,그녀는 친구의 어려움에 깊은 동정심을 느꼈습니다.,She felt deep sympathy for her friend's difficulties.
갈증,thirst,갈증을 느꼈어요.,I felt thirst.,목이 말라요.,I am thirsty.,사막에서 그는 극심한 갈증으로 고통받았습니다.,In the desert, he suffered from extreme thirst.
영토,territory,영토를 확장했어요.,They expanded their territory.,분쟁 지역이에요.,It's a disputed territory.,그 나라는 이웃 국가와 영토 분쟁을 겪고 있습니다.,The country has a territorial dispute with its neighbor.
재통일,reunification,남북 통일을 원해요.,I want reunification of North and South Korea.,통일은 중요해요.,Reunification is important.,그들은 분단된 가족의 재통일을 염원합니다.,They long for the reunification of divided families.
저장,storage,음식을 저장했어요.,I stored food.,저장 공간이 부족해요.,There is not enough storage space.,이 창고는 대량의 물품을 저장할 수 있습니다.,This warehouse provides storage for a large quantity of goods.
회기,session,회의가 시작됐어요.,The session started.,훈련 세션이 있었어요.,There was a training session.,의회는 새로운 법안을 논의하기 위해 특별 회기를 가졌습니다.,The parliament held a special session to discuss the new bill.
장학금,scholarship,장학금을 받았어요.,I received a scholarship.,장학금으로 공부해요.,I study with a scholarship.,그녀는 뛰어난 학업 성적으로 전액 장학금을 받았습니다.,She received a full scholarship for her excellent academic performance.
특권,privilege,특권을 누렸어요.,I enjoyed a privilege.,특권층이에요.,He is from a privileged class.,그녀는 명문 대학에서 공부할 특권을 가졌습니다.,She had the privilege of studying at a prestigious university.
경쟁자,rival,경쟁자가 많아요.,I have many rivals.,그는 저의 경쟁자예요.,He is my rival.,두 회사는 시장에서 치열한 경쟁자입니다.,The two companies are fierce rivals in the market.
후원자,sponsor,후원자를 찾았어요.,I found a sponsor.,그는 행사를 후원했어요.,He sponsored the event.,그 회사는 지역 스포츠 팀의 주요 후원자입니다.,The company is a major sponsor of the local sports team.
줄기,stem,식물 줄기가 길어요.,The plant stem is long.,문제는 여기서 비롯돼요.,The problem stems from here.,그녀의 모든 문제는 어린 시절의 트라우마에서 비롯되었습니다.,All her problems stemmed from childhood trauma.
고리,hook,고리에 걸었어요.,I hung it on a hook.,낚시 바늘을 사용했어요.,I used a fishing hook.,그는 그림을 벽에 걸기 위해 고리를 사용했습니다.,He used a hook to hang the picture on the wall.
마구,harness,말에게 마구를 채웠어요.,I harnessed the horse.,에너지를 활용해야 해요.,We need to harness energy.,그들은 바람의 힘을 활용하여 전기를 생산했습니다.,They harnessed the power of the wind to generate electricity.
줄거리,plot,영화 줄거리가 복잡해요.,The movie plot is complicated.,음모를 꾸몄어요.,They plotted a conspiracy.,그 소설의 줄거리는 독자들을 끝까지 긴장하게 만듭니다.,The novel's plot keeps readers on the edge of their seats until the very end.
수녀,nun,수녀님을 만났어요.,I met a nun.,수녀원에 살아요.,She lives in a nunnery.,그녀는 평생을 봉사하며 수녀로 살았습니다.,She lived her life as a nun, dedicated to service.
미이라,mummy,미이라를 봤어요.,I saw a mummy.,고대 미이라예요.,It's an ancient mummy.,고고학자들은 고대 이집트 미라를 발견했습니다.,Archaeologists discovered an ancient Egyptian mummy.
기념비,monument,기념비를 세웠어요.,They erected a monument.,역사적인 기념비예요.,It's a historical monument.,그 도시는 전쟁 영웅들을 기리는 기념비를 가지고 있습니다.,The city has a monument dedicated to its war heroes.
낙원,paradise,낙원에 살고 싶어요.,I want to live in paradise.,지상 낙원이에요.,It's a paradise on Earth.,그 섬은 아름다운 해변과 맑은 물로 진정한 낙원입니다.,The island is a true paradise with beautiful beaches and clear waters.
자비,mercy,자비를 베풀었어요.,He showed mercy.,자비로운 마음을 가졌어요.,She has a merciful heart.,판사는 피고인에게 자비를 베풀었습니다.,The judge showed mercy to the defendant.
악몽,nightmare,악몽을 꿨어요.,I had a nightmare.,끔찍한 악몽이었어요.,It was a terrible nightmare.,그녀는 전쟁의 악몽에 시달렸습니다.,She was haunted by the nightmare of war.
신경,nerve,신경이 예민해요.,My nerves are sensitive.,용기를 냈어요.,I had the nerve.,그는 중요한 프레젠테이션 전에 긴장했습니다.,He had nerves before the important presentation.
영양분,nutrition,영양분이 풍부한 음식을 먹었어요.,I ate nutritious food.,영양분이 중요해요.,Nutrition is important.,균형 잡힌 영양은 건강한 삶에 필수적입니다.,Balanced nutrition is essential for a healthy life.
수분,moisture,수분이 많아요.,There is a lot of moisture.,피부에 수분을 공급해야 해요.,You need to moisturize your skin.,이 식물은 성장하기 위해 많은 수분을 필요로 합니다.,This plant requires a lot of moisture to grow.
오토바이,motorcycle,오토바이를 탔어요.,I rode a motorcycle.,새로운 오토바이를 샀어요.,I bought a new motorcycle.,그는 오토바이를 타고 전국을 여행했습니다.,He traveled across the country on his motorcycle.
결과,outcome,결과가 좋았어요.,The outcome was good.,최종 결과예요.,It's the final outcome.,그들의 노력은 긍정적인 결과로 이어졌습니다.,Their efforts led to a positive outcome.
천년,millennium,천년 동안 살았어요.,I lived for a millennium.,새로운 천년이 시작됐어요.,A new millennium began.,새로운 천년은 새로운 희망과 도전을 가져왔습니다.,The new millennium brought new hopes and challenges.
일어나다,arise,문제가 발생했어요.,A problem arose.,새로운 기회가 생겼어요.,New opportunities arose.,예상치 못한 상황이 발생하면 침착하게 대처해야 합니다.,When unexpected situations arise, you must deal with them calmly.
동안에,meantime,그 동안에 저는 기다렸어요.,In the meantime, I waited.,그 동안에 무엇을 할까요?,What should I do in the meantime?,그는 회의를 준비하는 동안, 그녀는 보고서를 작성했습니다.,In the meantime, while he prepared for the meeting, she wrote the report.
개척자,pioneer,그는 개척자예요.,He is a pioneer.,새로운 분야를 개척했어요.,He pioneered a new field.,그녀는 여성 과학 분야의 선구자였습니다.,She was a pioneer in the field of women in science.
역사가,historian,역사가를 만났어요.,I met a historian.,유명한 역사가예요.,He is a famous historian.,그 역사가들은 고대 문명의 역사를 연구합니다.,The historians study the history of ancient civilizations.
지리,geography,지리를 공부해요.,I study geography.,세계 지리가 어려워요.,World geography is difficult.,그녀는 세계 지리에 대한 깊은 지식을 가지고 있습니다.,She has a deep knowledge of world geography.
수소,hydrogen,수소는 가스예요.,Hydrogen is a gas.,수소 에너지를 연구해요.,I study hydrogen energy.,물은 수소와 산소로 이루어져 있습니다.,Water is composed of hydrogen and oxygen.
용암,lava,용암이 흘러나왔어요.,Lava flowed out.,화산 용암이에요.,It's volcanic lava.,화산 폭발 후 용암이 산비탈을 따라 흘러내렸습니다.,After the volcanic eruption, lava flowed down the mountainside.
가축,livestock,가축을 길러요.,I raise livestock.,가축 농장이 있어요.,There is a livestock farm.,그 농부는 가축을 기르며 생계를 유지합니다.,The farmer earns his living by raising livestock.
어업,fishery,어업이 중요해요.,Fishery is important.,어업 산업이 발전하고 있어요.,The fishery industry is developing.,그 나라는 어업에 크게 의존합니다.,The country heavily relies on its fishery.
